"자치구 기준일","종로구 전체","종로구 추가","중구 전체","중구 추가","용산구 전체","용산구 추가","성동구 전체","성동구 추가","광진구 전체","광진구 추가","동대문구 전체","동대문구 추가","중랑구 전체","중랑구 추가","성북구 전체","성북구 추가","강북구 전체","강북구 추가","도봉구 전체","도봉구 추가","노원구 전체","노원구 추가","은평구 전체","은평구 추가","서대문구 전체","서대문구 추가","마포구 전체","마포구 추가","양천구 전체","양천구 추가","강서구 전체","강서구 추가","구로구 전체","구로구 추가","금천구 전체","금천구 추가","영등포구 전체","영등포구 추가","동작구 전체","동작구 추가","관악구 전체","관악구 추가","서초구 전체","서초구 추가","강남구 전체","강남구 추가","송파구 전체","송파구 추가","강동구 전체","강동구 추가","기타 전체","기타 추가"
"2022.02.08.00","5303","57","5032","15","7831","122","8453","102","11048","301","12804","225","12040","247","13746","295","9200","219","9632","218","14251","247","13270","295","8914","232","11435","252","12665","280","14293","168","14409","229","7947","108","14372","241","13061","276","16600","170","12999","221","17873","467","20905","224","14246","363","23924","336"
"2022.02.07.00","5246","77","5017","94","7709","147","8351","53","10747","288","12579","217","11793","311","13451","289","8981","213","9415","222","14004","224","12975","272","8682","145","11183","258","12385","401","14125","316","14180","236","7839","155","14131","278","12785","340","16430","377","12778","315","17405","166","20681","695","13883","386","23588","413"
"2022.02.06.00","5169","106","4923","97","7562","151","8298","310","10461","322","12362","281","11484","303","13162","265","8768","223","9193","257","13780","377","12703","314","8537","184","10926","208","11984","372","13809","186","13944","269","7684","159","13855","322","12445","389","16053","363","12463","397","17239","238","19986","714","13497","479","23175","535"
"2022.02.05.00","5169","106","4923","97","7562","151","8298","310","10461","322","12362","281","11484","303","13162","265","8768","223","9193","257","13780","377","12703","314","8537","184","10926","208","11984","372","13809","186","13944","269","7684","159","13855","322","12445","389","16053","363","12463","397","17239","238","19986","714","13497","479","23175","535"
"2022.02.04.00","5063","106","4826","89","7411","160","7988","227","10139","284","12081","276","11181","242","12897","386","8545","203","8936","243","13403","499","12389","385","8353","170","10718","336","11612","359","13623","305","13675","341","7525","198","13533","296","12056","480","15690","588","12066","478","17001","261","19272","773","13018","436","22640","477"
"2022.02.03.00","4957","70","4737","110","7252","174","7761","159","9857","223","11807","184","10942","210","12511","334","8342","142","8692","214","12904","216","12004","185","8183","179","10382","236","11253","329","13318","233","13334","217","7328","186","13237","234","11576","222","15102","161","11588","405","16741","200","18588","473","12584","462","22063","402"
"2022.02.02.00","4887","76","4627","72","7078","155","7602","149","9634","213","11623","160","10732","210","12177","260","8200","167","8478","205","12688","217","11819","145","8004","111","10146","222","10924","288","13085","149","13117","165","7142","48","13003","223","11354","256","14941","240","11183","213","16541","193","18115","423","12122","307","21661","351"
"2022.02.01.00","4768","41","4493","54","6794","96","7248","108","9229","170","11365","138","10419","163","11795","238","7912","107","8125","106","12373","197","11569","124","7760","105","9726","146","10415","197","12808","195","12792","140","6959","105","12597","141","10934","170","14418","185","10800","115","16198","286","17304","282","11596","213","21059","309"
"2022.01.31.00","4727","59","4439","35","6698","101","7140","119","9059","187","11227","131","10256","127","11557","147","7805","85","8019","90","12176","219","11445","99","7655","90","9580","170","10218","209","12613","216","12652","139","6854","75","12456","154","10764","182","14233","306","10685","186","15912","255","17022","306","11383","214","20750","292"
"2022.01.30.00","4668","53","4404","56","6597","99","7021","122","8872","160","11096","138","10129","147","11410","167","7720","82","7929","118","11957","195","11346","197","7565","123","9410","162","10009","192","12397","211","12513","151","6779","66","12302","155","10582","193","13927","205","10499","187","15657","204","16716","286","11169","209","20458","307"
"2022.01.29.00","4668","53","4404","56","6597","99","7021","122","8872","160","11096","138","10129","147","11410","167","7720","82","7929","118","11957","195","11346","197","7565","123","9410","162","10009","192","12397","211","12513","151","6779","66","12302","155","10582","193","13927","205","10499","187","15657","204","16716","286","11169","209","20458","307"
"2022.01.28.00","4615","53","4348","64","6499","112","6898","99","8713","144","10958","124","9982","145","11243","158","7638","100","7808","120","11763","211","11149","148","7442","114","9248","183","9817","195","12186","242","12362","157","6715","63","12147","165","10388","146","13722","256","10312","220","15454","248","16429","269","10960","192","20151","271"
"2022.01.27.00","4562","52","4284","49","6387","110","6799","124","8569","180","10834","180","9837","119","11085","168","7538","73","7688","115","11552","172","11001","132","7328","120","9065","159","9622","216","11944","108","12205","140","6652","76","11982","159","10242","194","13466","205","10092","192","15206","257","16160","289","10768","166","19880","236"
"2022.01.26.00","4510","50","4235","39","6277","80","6675","97","8389","131","10654","108","9718","130","10917","148","7465","79","7573","84","11380","156","10869","124","7208","100","8906","155","9406","156","11836","121","12065","117","6576","68","11823","129","10048","161","13261","223","9900","172","14949","217","15871","249","10602","135","19644","200"
"2022.01.25.00","4424","27","4162","33","6108","36","6490","50","8119","121","10473","25","9454","45","10605","76","7335","32","7426","23","11031","124","10628","35","6997","48","8608","45","9101","66","11658","87","11847","44","6447","15","11567","83","9742","67","12802","96","9600","85","14513","165","15446","116","10337","58","19240","122"
"2022.01.24.00","4397","39","4129","18","6072","46","6440","51","7998","76","10448","54","9408","39","10529","51","7303","28","7413","47","10907","54","10590","50","6963","68","8563","66","9033","67","11571","68","11803","46","6432","36","11484","57","9675","71","12706","112","9515","71","14348","140","15330","111","10279","71","19101","142"
"2022.01.23.00","4358","20","4111","22","6026","50","6389","60","7922","86","10394","59","9369","45","10478","56","7275","32","7366","40","10853","74","10540","69","6895","58","8497","59","8966","64","11503","82","11757","72","6396","34","11427","51","9604","59","12594","106","9444","80","14208","129","15219","97","10208","64","18959","126"
"2022.01.22.00","4338","25","4093","39","5976","44","6330","39","7836","72","10335","67","9324","44","10422","45","7243","21","7326","27","10779","85","10471","66","6838","53","8438","62","8902","65","11421","73","11685","42","6362","29","11376","62","9545","60","12488","103","9363","71","14079","117","15122","96","10144","59","18829","125"
"2022.01.21.00","4313","17","4054","23","5932","36","6291","49","7764","65","10268","57","9280","38","10377","68","7222","20","7299","27","10694","80","10405","44","6785","41","8376","55","8837","61","11348","85","11643","64","6333","43","11315","59","9485","48","12385","92","9292","84","13962","109","15026","81","10085","48","18704","158"
"2022.01.20.00","4296","19","4030","24","5896","34","6242","42","7699","38","10211","48","9242","46","10309","55","7201","28","7274","42","10614","76","10361","46","6759","41","8321","56","8776","57","11263","45","11579","57","6290","32","11256","46","9437","51","12293","84","9208","48","13853","99","14945","92","10037","40","18533","116"
"2022.01.19.00","4277","17","4006","25","5862","43","6200","28","7661","46","10163","47","9196","32","10255","46","7173","25","7232","30","10539","51","10315","42","6717","38","8266","41","8719","39","11218","43","11522","47","6258","27","11210","66","9386","46","12209","71","9160","47","13754","95","14853","79","9997","37","18417","123"
"2022.01.18.00","4260","10","3990","10","5819","25","6172","16","7628","39","10116","14","9164","14","10209","31","7148","11","7203","18","10489","43","10273","24","6702","25","8224","22","8680","28","11176","36","11475","32","6231","19","11144","24","9340","32","12139","48","9113","37","13659","60","14774","48","9960","22","18249","75"
"2022.01.17.00","4250","13","3980","17","5794","32","6156","14","7589","22","10102","26","9150","17","10178","32","7137","26","7185","21","10446","27","10249","20","6677","29","8202","31","8652","37","11140","47","11443","27","6212","25","11120","27","9308","20","12091","34","9076","42","13599","56","14726","47","9938","22","18174","79"
"2022.01.16.00","4237","6","3963","14","5762","32","6142","26","7567","33","10076","30","9133","32","10146","50","7111","14","7164","22","10419","43","10229","22","6649","49","8171","38","8615","34","11093","60","11416","39","6187","28","11093","32","9288","29","12057","60","9034","32","13543","55","14679","73","9916","16","18094","56"
"2022.01.15.00","4232","17","3950","21","5730","34","6116","30","7535","35","10046","40","9101","38","10096","26","7097","19","7142","23","10376","36","10207","25","6600","47","8133","45","8581","31","11033","40","11377","29","6159","21","11061","30","9259","26","11997","54","9002","37","13488","61","14606","53","9900","21","18038","73"
"2022.01.14.00","4215","9","3929","23","5696","30","6086","27","7500","39","10006","44","9063","34","10070","36","7078","32","7119","32","10340","35","10182","29","6554","21","8088","36","8550","30","10993","31","11348","32","6138","21","11031","36","9233","28","11943","47","8965","62","13427","53","14553","52","9879","37","17964","83"
"2022.01.13.00","4206","18","3909","18","5666","29","6059","33","7461","35","9962","35","9029","35","10033","36","7046","20","7087","21","10305","36","10153","30","6534","27","8053","32","8520","30","10962","30","11316","58","6117","13","10995","40","9205","34","11896","64","8902","43","13374","83","14501","66","9842","38","17881","74"
"2022.01.12.00","4188","12","3897","21","5638","41","6027","19","7474","45","9928","45","8996","33","9996","41","7027","16","7098","25","10265","27","10124","39","6507","41","8021","53","8490","26","10932","45","11258","51","6105","18","10955","39","9171","34","11832","70","8859","61","13293","100","14435","72","9805","46","17718","73"
"2022.01.11.00","4179","21","3890","10","5592","22","6008","10","7429","25","9883","35","8963","30","9955","32","7011","21","7073","20","10238","35","10086","24","6424","15","7968","27","8464","33","10887","32","11207","41","6086","13","10915","20","9137","21","11762","32","8797","44","13193","72","14363","41","9759","18","17677","61"
"2022.01.10.00","4158","15","3880","22","5570","24","5998","21","7404","29","9848","43","8933","27","9923","40","6990","17","7053","20","10203","28","10062","28","6409","10","7941","26","8431","25","10855","33","11166","46","6073","21","10895","13","9116","24","11730","36","8753","33","13121","48","14322","55","9741","32","17617","65"
"2022.01.09.00","4144","20","3863","17","5547","32","5977","17","7375","33","9805","46","8906","33","9883","27","6973","27","7034","24","10175","47","10033","37","6401","29","7915","40","8406","36","10822","29","11121","52","6052","24","10882","33","9092","26","11694","41","8720","40","13072","49","14267","68","9709","48","17547","91"
"2022.01.08.00","4124","28","3846","16","5515","24","5960","30","7342","41","9759","39","8873","41","9856","41","6946","21","7010","42","10128","51","9996","26","6372","30","7875","38","8370","29","10793","52","11069","46","6028","25","10849","26","9066","34","11653","52","8680","41","13023","68","14199","49","9661","43","17456","61"
"2022.01.07.00","4096","24","3830","23","5491","36","5930","30","7301","34","9720","36","8832","36","9815","39","6925","18","6968","31","10077","44","9970","38","6342","21","7837","37","8341","43","10741","28","11023","51","6003","20","10824","47","9032","44","11601","42","8639","49","12955","74","14150","61","9618","40","17396","92"
"2022.01.06.00","4072","16","3807","23","5455","28","5900","33","7267","51","9684","54","8796","57","9776","39","6907","30","6937","32","10033","60","9932","43","6321","35","7800","31","8298","51","10713","48","10972","61","5983","30","10777","58","8988","32","11559","57","8590","47","12881","76","14089","76","9578","57","17304","83"
"2022.01.05.00","4056","21","3784","20","5427","39","5867","38","7216","52","9630","66","8740","71","9737","62","6877","33","6905","44","9973","47","9889","63","6286","36","7769","45","8247","82","10665","47","10910","73","5953","36","10719","46","8956","37","11502","49","8543","54","12806","100","14012","79","9521","58","17223","114"
"2022.01.04.00","4035","13","3764","17","5388","23","5829","20","7164","28","9564","32","8669","46","9675","48","6844","37","6861","29","9926","47","9826","29","6250","28","7724","34","8165","37","10618","39","10837","38","5917","24","10673","28","8919","35","11453","47","8489","32","12706","57","13933","60","9463","49","17109","61"
"2022.01.03.00","4022","12","3747","21","5365","20","5809","34","7136","27","9532","38","8624","42","9627","36","6807","23","6832","33","9879","59","9797","32","6222","37","7690","36","8128","46","10579","32","10799","30","5893","25","10645","35","8884","20","11406","35","8457","41","12649","64","13873","61","9414","45","17051","109"
"2022.01.02.00","4010","17","3726","26","5346","35","5775","27","7109","33","9494","36","8582","48","9592","48","6784","45","6799","36","9820","64","9765","53","6185","24","7654","45","8082","48","10547","41","10769","70","5868","33","10610","51","8864","35","11371","58","8416","46","12585","57","13812","82","9369","58","16945","67"
"2022.01.01.00","3993","20","3700","29","5311","37","5748","41","7076","34","9459","74","8534","58","9544","56","6739","44","6763","45","9756","88","9712","49","6161","51","7609","39","8034","69","10506","70","10699","79","5835","40","10559","52","8829","38","11313","48","8370","59","12528","76","13730","96","9311","82","16879","90"
"2021.12.31.00","3973","24","3671","22","5274","38","5707","43","7042","61","9385","72","8476","68","9488","71","6695","58","6718","56","9669","91","9663","61","6110","44","7570","56","7965","74","10436","76","10620","62","5795","40","10507","78","8791","52","11265","70","8311","52","12452","86","13634","109","9229","106","16789","100"
"2021.12.30.00","3949","28","3649","23","5236","33","5664","53","6981","62","9313","63","8408","64","9417","86","6637","77","6662","54","9578","87","9602","67","6066","43","7514","50","7891","48","10360","66","10558","83","5755","40","10429","76","8739","64","11196","77","8260","69","12366","84","13525","120","9123","92","16689","113"
"2021.12.29.00","3921","43","3626","33","5203","36","5611","42","6919","49","9250","98","8344","69","9331","82","6560","66","6608","52","9491","80","9535","107","6023","52","7464","55","7843","77","10294","102","10476","86","5715","54","10353","87","8674","73","11120","77","8191","71","12282","67","13405","86","9031","91","16577","180"
"2021.12.28.00","3878","40","3593","23","5167","29","5569","39","6870","51","9152","61","8275","39","9249","107","6494","44","6556","55","9411","90","9428","35","5971","25","7409","38","7766","52","10192","42","10390","45","5661","25","10266","42","8601","41","11043","51","8120","33","12215","67","13319","82","8940","57","16399","77"
"2021.12.27.00","3838","30","3570","29","5139","31","5530","26","6819","43","9091","61","8236","71","9142","111","6450","59","6501","40","9321","94","9393","78","5946","44","7371","53","7714","55","10150","59","10346","30","5636","37","10224","42","8560","50","10992","77","8087","56","12148","69","13237","116","8883","57","16322","78"
"2021.12.26.00","3808","31","3538","38","5110","34","5504","40","6776","43","9030","83","8165","71","9030","111","6389","64","6461","61","9234","105","9316","70","5897","54","7318","81","7659","79","10091","84","10315","70","5598","51","10183","82","8510","76","10915","85","8030","66","12081","83","13119","147","8826","70","16241","138"
"2021.12.25.00","3777","49","3504","26","5074","33","5464","56","6733","59","8947","72","8093","63","8920","79","6327","67","6400","72","9122","130","9245","101","5848","59","7237","82","7580","116","10007","89","10246","92","5548","41","10100","100","8434","88","10830","81","7965","84","11996","104","12974","127","8756","77","16106","176"
"2021.12.24.00","3728","47","3475","42","5043","53","5408","41","6674","68","8875","97","8030","67","8840","110","6258","92","6328","80","8999","106","9145","86","5784","82","7155","70","7464","116","9918","126","10153","81","5506","42","10001","95","8346","99","10749","102","7880","90","11894","114","12845","188","8679","86","15927","166"
"2021.12.23.00","3681","49","3433","48","4990","57","5367","74","6606","88","8778","112","7963","84","8730","124","6166","92","6248","90","8893","149","9059","136","5702","82","7085","99","7348","111","9792","131","10072","100","5464","46","9906","127","8247","91","10647","131","7790","87","11780","142","12657","167","8593","102","15761","200"
"2021.12.22.00","3632","40","3385","31","4933","70","5293","69","6518","73","8666","118","7879","111","8606","62","6074","80","6158","111","8744","170","8923","160","5620","74","6986","108","7237","93","9661","133","9972","132","5418","61","9779","125","8156","102","10516","125","7703","109","11638","136","12490","145","8491","130","15561","237"
"2021.12.21.00","3592","45","3354","26","4863","47","5224","43","6445","64","8548","84","7768","75","8544","89","5994","80","6047","71","8574","151","8763","150","5546","58","6878","44","7144","55","9528","94","9840","52","5357","43","9654","59","8054","94","10391","99","7594","61","11502","120","12345","102","8361","81","15324","107"
"2021.12.20.00","3547","26","3328","22","4816","35","5181","36","6381","63","8464","102","7693","67","8455","101","5914","78","5976","61","8423","111","8613","75","5488","51","6834","72","7089","53","9434","79","9788","58","5314","52","9595","61","7960","71","10292","103","7533","69","11382","95","12243","153","8280","81","15217","131"
"2021.12.19.00","3521","36","3306","25","4781","53","5145","58","6318","63","8362","115","7626","99","8354","93","5836","63","5915","88","8312","68","8538","99","5437","50","6762","66","7036","76","9355","110","9730","96","5262","61","9534","105","7889","86","10189","96","7464","101","11287","132","12090","66","8199","109","15086","299"
"2021.12.18.00","3485","48","3308","36","4728","53","5083","80","6254","102","8247","113","7527","97","8260","126","5773","94","5827","125","8237","139","8439","133","5386","90","6692","79","6959","104","9244","137","9634","111","5201","81","9427","111","7801","96","10093","133","7363","120","11153","126","12026","182","8090","88","14791","190"
"2021.12.17.00","3485","48","3281","36","4728","53","5087","80","6255","102","8247","113","7527","97","8261","125","5773","94","5827","125","8244","139","8439","133","5387","85","6696","79","6960","104","9245","137","9634","111","5201","81","9429","111","7803","96","10093","133","7363","120","11155","126","12024","182","8090","88","14787","190"
"2021.12.16.00","3437","48","3245","29","4675","55","5007","79","6153","59","8134","162","7430","122","8136","95","5679","103","5702","88","8105","120","8306","128","5302","97","6617","78","6856","108","9108","154","9523","130","5120","91","9318","125","7707","101","9960","139","7243","89","11029","146","11842","178","8002","102","14597","220"
"2021.12.15.00","3389","40","3216","44","4620","70","4928","68","6094","82","7972","147","7308","141","8041","152","5576","79","5614","92","7985","134","8178","123","5205","87","6539","91","6748","108","8954","185","9393","141","5029","70","9193","111","7606","86","9821","147","7154","110","10883","162","11664","127","7900","135","14377","324"
"2021.12.14.00","3349","39","3172","49","4550","61","4860","73","6012","72","7825","133","7167","149","7889","123","5497","91","5522","119","7851","162","8055","109","5118","112","6448","108","6640","116","8769","182","9252","164","4959","108","9082","131","7520","125","9674","176","7044","115","10721","127","11537","252","7765","138","14053","132"
"2021.12.13.00","3310","26","3123","25","4489","38","4787","59","5940","51","7692","98","7018","94","7766","80","5406","73","5403","66","7689","66","7946","101","5006","90","6340","67","6524","84","8587","95","9088","65","4851","52","8951","69","7395","49","9498","71","6929","82","10594","91","11285","115","7627","68","13921","287"
"2021.12.12.00","3284","65","3098","28","4451","52","4728","53","5889","62","7594","110","6924","106","7686","161","5333","86","5337","79","7623","104","7845","124","4916","74","6273","67","6440","101","8492","116","9023","100","4799","59","8882","95","7346","74","9427","118","6847","90","10503","151","11170","173","7559","74","13634","228"
"2021.12.11.00","3219","27","3070","27","4399","47","4675","46","5827","62","7484","140","6818","120","7525","82","5247","100","5258","100","7519","120","7721","80","4842","65","6206","77","6339","103","8376","113","8923","144","4740","76","8787","118","7272","83","9309","129","6757","106","10352","101","10997","169","7485","110","13406","182"
"2021.12.10.00","3192","38","3043","44","4352","53","4629","63","5765","94","7344","155","6698","102","7443","114","5147","67","5158","109","7399","97","7641","99","4777","65","6129","83","6236","97","8263","149","8779","106","4664","74","8669","134","7189","98","9180","124","6651","108","10251","122","10828","215","7375","135","13224","290"
"2021.12.09.00","3154","48","2999","36","4299","44","4566","66","5671","82","7189","156","6596","155","7329","138","5080","80","5049","105","7302","123","7542","104","4712","99","6046","80","6139","104","8114","134","8673","115","4590","97","8535","143","7091","93","9056","127","6543","100","10129","140","10613","138","7240","135","12934","157"
"2021.12.08.00","3106","17","2963","33","4255","59","4500","34","5589","64","7033","111","6441","92","7191","98","5000","46","4944","96","7179","113","7438","164","4613","34","5966","81","6035","104","7980","142","8558","115","4493","88","8392","118","6998","105","8929","137","6443","102","9989","149","10475","135","7105","103","12777","450"
"2021.12.07.00","3089","44","2930","30","4196","54","4466","74","5525","101","6922","153","6349","108","7093","127","4954","82","4848","106","7066","120","7274","118","4579","77","5885","97","5931","117","7838","151","8443","132","4405","95","8274","131","6893","114","8792","156","6341","113","9840","131","10340","176","7002","138","12327","155"
"2021.12.06.00","3045","57","2900","32","4142","50","4392","55","5424","54","6769","108","6241","96","6966","74","4872","123","4742","84","6946","163","7156","119","4502","87","5788","63","5814","58","7687","97","8311","58","4310","33","8143","78","6779","72","8636","79","6228","61","9709","99","10164","137","6864","44","12172","138"
"2021.12.05.00","2988","11","2868","27","4092","25","4337","20","5370","57","6661","34","6145","84","6892","77","4749","10","4658","65","6783","57","7037","37","4415","39","5725","66","5756","81","7590","81","8253","52","4277","37","8065","73","6707","63","8557","83","6167","47","9610","58","10027","82","6820","57","12034","85"
"2021.12.04.00","2977","27","2841","32","4067","48","4317","37","5313","67","6627","101","6061","92","6815","90","4739","72","4593","57","6726","71","7000","54","4376","77","5659","60","5675","72","7509","114","8201","109","4240","54","7992","111","6644","90","8474","104","6120","54","9552","89","9945","129","6763","103","11949","117"
"2021.12.03.00","2950","66","2809","29","4019","48","4280","34","5246","75","6526","82","5969","105","6725","87","4667","54","4536","92","6655","96","6946","90","4299","59","5599","73","5603","102","7395","114","8092","88","4186","60","7881","111","6554","93","8370","132","6066","70","9463","96","9816","120","6660","84","11832","213"
"2021.12.02.00","2884","29","2780","22","3971","50","4246","41","5171","74","6444","93","5864","83","6638","106","4613","72","4444","83","6559","75","6856","107","4240","68","5526","69","5501","84","7281","124","8004","61","4126","87","7770","111","6461","81","8238","101","5996","68","9367","65","9696","106","6576","93","11619","146"
"2021.12.01.00","2855","38","2758","42","3921","50","4205","34","5097","59","6351","117","5781","88","6532","95","4541","50","4361","65","6484","53","6749","89","4172","53","5457","77","5417","68","7157","151","7943","84","4039","75","7659","102","6380","77","8137","31","5928","50","9302","82","9590","85","6483","73","11473","479"
"2021.11.30.00","2817","44","2716","36","3871","75","4171","55","5038","68","6234","103","5693","80","6437","88","4491","56","4296","70","6431","96","6660","102","4119","61","5380","88","5349","104","7006","65","7859","118","3964","60","7557","108","6303","102","8106","112","5878","57","9220","89","9505","125","6410","100","10994","160"
"2021.11.29.00","2773","39","2680","26","3796","31","4116","41","4970","49","6131","40","5613","46","6349","49","4435","58","4226","43","6335","90","6558","61","4058","32","5292","40","5245","51","6941","47","7741","47","3904","28","7449","63","6201","40","7994","45","5821","39","9131","42","9380","46","6310","28","10834","65"
"2021.11.28.00","2734","33","2654","23","3765","37","4075","22","4921","40","6091","53","5567","47","6300","51","4377","59","4183","38","6245","45","6497","58","4026","52","5252","49","5194","58","6894","76","7694","66","3876","50","7386","72","6161","77","7949","79","5782","63","9089","43","9334","73","6282","42","10769","86"
"2021.11.27.00","2701","33","2631","32","3728","25","4053","37","4881","50","6038","88","5520","79","6249","56","4318","55","4145","57","6200","63","6439","60","3974","51","5203","49","5136","92","6818","78","7628","105","3826","38","7314","78","6084","100","7870","68","5719","47","9046","42","9261","80","6240","52","10683","158"
"2021.11.26.00","2668","30","2599","38","3703","61","4016","34","4831","52","5950","101","5441","79","6193","67","4263","63","4088","53","6137","81","6379","98","3923","48","5154","49","5044","74","6740","98","7523","106","3788","58","7236","80","5984","106","7802","60","5672","43","9004","64","9181","78","6188","74","10525","193"
"2021.11.25.00","2638","20","2561","34","3642","45","3982","27","4779","55","5849","74","5362","66","6126","75","4200","52","4035","42","6056","57","6281","102","3875","52","5105","47","4970","73","6642","85","7417","98","3730","51","7156","77","5878","110","7742","79","5629","21","8940","45","9103","90","6114","80","10332","183"
"2021.11.24.00","2618","50","2527","27","3597","33","3955","35","4724","50","5775","71","5296","67","6051","73","4148","79","3993","39","5999","67","6179","66","3823","38","5058","53","4897","99","6557","86","7319","83","3679","84","7079","98","5768","101","7663","82","5608","42","8895","49","9013","103","6034","67","10149","118"
"2021.11.23.00","2568","13","2500","25","3564","29","3920","22","4674","47","5704","75","5229","56","5978","73","4069","52","3954","47","5932","73","6113","93","3785","64","5005","52","4798","90","6471","91","7236","95","3595","65","6981","97","5667","89","7581","95","5566","44","8846","54","8910","120","5967","68","10031","105"
"2021.11.22.00","2555","24","2475","20","3535","10","3898","36","4627","40","5629","34","5173","50","5905","69","4017","51","3907","42","5859","56","6020","45","3721","28","4953","33","4708","57","6380","76","7141","55","3530","29","6884","41","5578","55","7486","38","5522","44","8792","45","8790","57","5899","49","9926","81"
"2021.11.21.00","2531","22","2455","14","3525","22","3862","29","4587","36","5595","51","5123","60","5836","71","3966","51","3865","35","5803","58","5975","42","3693","36","4920","41","4651","59","6304","64","7086","65","3501","38","6843","77","5523","52","7448","58","5478","33","8747","46","8733","77","5850","66","9845","75"
"2021.11.20.00","2509","28","2441","17","3503","25","3833","41","4551","45","5544","51","5063","40","5765","73","3915","41","3830","22","5745","72","5933","55","3657","28","4879","37","4592","65","6240","75","7021","67","3463","31","6766","69","5471","59","7390","63","5445","42","8701","52","8656","82","5784","62","9770","78"
"2021.11.19.00","2481","32","2424","22","3478","26","3792","43","4506","29","5493","59","5023","47","5692","65","3874","45","3808","54","5673","48","5878","56","3629","31","4842","33","4527","50","6165","73","6954","70","3432","61","6697","80","5412","51","7327","64","5403","59","8649","58","8574","68","5722","53","9692","95"
"2021.11.18.00","2449","25","2402","34","3452","21","3749","28","4477","41","5434","73","4976","42","5627","89","3829","42","3754","53","5625","51","5822","61","3598","32","4809","43","4477","42","6092","80","6884","65","3371","55","6617","97","5361","47","7263","59","5344","31","8591","61","8506","78","5669","51","9597","99"
"2021.11.17.00","2424","24","2368","19","3431","19","3721","33","4436","37","5361","67","4934","44","5538","94","3787","34","3701","53","5574","65","5761","66","3566","42","4766","40","4435","49","6012","71","6819","84","3316","47","6520","78","5314","45","7204","67","5313","59","8530","57","8428","89","5618","48","9498","98"
"2021.11.16.00","2400","35","2349","26","3412","23","3688","28","4399","34","5294","84","4890","56","5444","85","3753","35","3648","60","5509","66","5695","49","3524","39","4726","45","4386","69","5941","50","6735","86","3269","44","6442","65","5269","48","7137","80","5254","40","8473","46","8339","75","5570","71","9400","97"
"2021.11.15.00","2365","13","2323","12","3389","10","3660","38","4365","23","5210","56","4834","37","5359","64","3718","25","3588","34","5443","26","5646","20","3485","20","4681","29","4317","24","5891","42","6649","58","3225","23","6377","64","5221","19","7057","38","5214","25","8427","37","8264","35","5499","31","9303","43"
"2021.11.14.00","2352","15","2311","14","3379","18","3622","23","4342","19","5154","44","4797","29","5295","55","3693","15","3554","22","5417","42","5626","30","3465","10","4652","21","4293","33","5849","43","6591","36","3202","19","6313","57","5202","31","7019","32","5189","27","8390","42","8229","51","5468","78","9260","52"
"2021.11.13.00","2337","17","2297","19","3361","8","3599","26","4323","16","5110","42","4768","23","5240","51","3678","24","3532","21","5375","49","5596","49","3455","24","4631","26","4260","30","5806","42","6555","64","3183","29","6256","56","5171","28","6987","49","5162","30","8348","32","8178","52","5390","55","9208","116"
"2021.11.12.00","2320","25","2278","16","3353","13","3573","26","4307","19","5068","51","4745","21","5189","44","3654","31","3511","29","5326","55","5547","58","3431","37","4605","20","4230","34","5764","50","6491","63","3154","31","6200","44","5143","25","6938","78","5132","34","8316","39","8126","46","5335","52","9092","64"
"2021.11.11.00","2295","13","2262","16","3340","19","3547","18","4288","25","5017","31","4724","31","5145","50","3623","26","3482","42","5271","42","5489","51","3394","27","4585","22","4196","34","5714","67","6428","42","3123","21","6156","64","5118","28","6860","59","5098","22","8277","31","8080","52","5283","50","9028","65"
"2021.11.10.00","2282","13","2246","17","3321","16","3529","25","4263","27","4986","59","4693","27","5095","40","3597","28","3440","35","5229","82","5438","31","3367","25","4563","24","4162","32","5647","51","6386","57","3102","18","6092","64","5090","23","6801","59","5076","50","8246","31","8028","70","5233","50","8963","49"
"2021.11.09.00","2269","22","2229","16","3305","19","3504","24","4236","20","4927","71","4666","40","5055","27","3569","25","3405","20","5147","45","5407","38","3342","20","4539","34","4130","37","5596","52","6329","63","3084","25","6028","57","5067","29","6742","51","5026","25","8215","39","7958","72","5183","50","8914","52"
"2021.11.08.00","2247","7","2213","15","3286","10","3480","25","4216","15","4856","39","4626","24","5028","28","3544","20","3385","15","5102","32","5369","28","3322","12","4505","18","4093","36","5544","29","6266","32","3059","27","5971","41","5038","22","6691","35","5001","22","8176","41","7886","40","5133","27","8862","22"
"2021.11.07.00","2240","6","2198","12","3276","10","3455","16","4201","22","4817","24","4602","27","5000","21","3524","22","3370","17","5070","36","5341","42","3310","19","4487","17","4057","20","5515","29","6234","48","3032","19","5930","49","5016","19","6656","42","4979","26","8135","31","7846","47","5106","34","8840","52"
"2021.11.06.00","2234","12","2186","9","3266","12","3439","19","4179","25","4793","42","4575","28","4979","38","3502","18","3353","30","5034","45","5299","44","3291","12","4470","17","4037","31","5486","36","6186","48","3013","48","5881","49","4997","17","6614","54","4953","28","8104","34","7799","57","5072","53","8788","42"
"2021.11.05.00","2222","12","2177","19","3254","15","3420","24","4154","22","4751","40","4547","27","4941","35","3484","29","3323","40","4989","46","5255","53","3279","19","4453","14","4006","28","5450","46","6138","64","2965","40","5832","49","4980","28","6560","58","4925","38","8070","25","7742","51","5019","40","8746","53"
